,speed,power,crop
2018-05-18 11:55:23,6.012,85.0,0.0
2018-05-18 11:55:24,5.962,58.0,0.0
2018-05-18 11:55:25,6.012,58.0,0.0
2018-05-18 11:55:26,5.945,55.0,0.0
2018-05-18 11:55:27,5.896,49.0,0.0
2018-05-18 11:55:28,5.945,50.0,0.0
2018-05-18 11:55:29,5.896,80.0,0.0
2018-05-18 11:55:30,5.896,80.0,0.0
2018-05-18 11:55:31,5.896,80.0,0.0
2018-05-18 11:55:32,6.012,88.0,0.0
2018-05-18 11:55:33,5.962,92.0,0.0
2018-05-18 11:55:34,5.945,93.0,0.0
2018-05-18 11:55:35,5.962,98.0,0.0
2018-05-18 11:55:36,6.012,99.0,0.0
2018-05-18 11:55:37,5.962,114.0,0.0
2018-05-18 11:55:38,6.029,109.0,0.0
2018-05-18 11:55:39,6.063,113.0,0.0
2018-05-18 11:55:40,6.15,107.0,0.0
2018-05-18 11:55:41,6.168,99.0,0.0
2018-05-18 11:55:42,6.221,91.0,0.0
2018-05-18 11:55:43,6.257,79.0,0.0
2018-05-18 11:55:44,6.221,104.0,0.0
2018-05-18 11:55:45,6.331,114.0,0.0
2018-05-18 11:55:46,6.426,124.0,0.0
2018-05-18 11:55:47,6.584,127.0,0.0
2018-05-18 11:55:48,6.666,128.0,0.0
2018-05-18 11:55:49,6.645,110.0,0.0
2018-05-18 11:55:50,6.666,125.0,0.0
2018-05-18 11:55:51,6.465,131.0,0.0
2018-05-18 11:55:52,6.465,114.0,0.0
2018-05-18 11:55:53,6.239,114.0,0.0
2018-05-18 11:55:54,6.465,110.0,0.0
2018-05-18 11:55:55,6.604,90.0,0.0
2018-05-18 11:55:56,6.524,89.0,0.0
2018-05-18 11:55:57,6.604,93.0,0.0
2018-05-18 11:55:58,6.445,93.0,0.0
2018-05-18 11:55:59,6.465,87.0,0.0
2018-05-18 11:56:00,6.504,75.0,0.0
2018-05-18 11:56:01,6.484,79.0,0.0
2018-05-18 11:56:02,6.407,90.0,0.0
2018-05-18 11:56:03,6.524,100.0,0.0
2018-05-18 11:56:04,6.544,135.0,0.0
2018-05-18 11:56:05,6.544,138.0,0.0
2018-05-18 11:56:06,6.624,138.0,0.0
2018-05-18 11:56:07,6.584,0.0,0.0
2018-05-18 11:56:08,6.604,0.0,0.0
2018-05-18 11:56:09,6.313,0.0,0.0
2018-05-18 11:56:10,6.239,0.0,0.0
2018-05-18 11:56:11,6.097,0.0,0.0
2018-05-18 11:56:12,5.945,0.0,0.0
2018-05-18 11:56:13,5.864,267.0,0.0
2018-05-18 11:56:14,6.046,217.0,0.0
2018-05-18 11:56:15,6.185,202.0,0.0
2018-05-18 11:56:16,6.407,202.0,0.0
2018-05-18 11:56:17,6.504,175.0,0.0
2018-05-18 11:56:18,6.707,186.0,0.0
2018-05-18 11:56:19,6.824,188.0,0.0
2018-05-18 11:56:20,6.879,185.0,0.0
2018-05-18 11:56:21,6.946,172.0,0.0
2018-05-18 11:56:22,6.991,179.0,0.0
2018-05-18 11:56:23,6.991,174.0,0.0
2018-05-18 11:56:24,6.946,138.0,0.0
2018-05-18 11:56:25,7.131,136.0,0.0
2018-05-18 11:56:26,6.969,141.0,0.0
2018-05-18 11:56:27,7.037,137.0,0.0
2018-05-18 11:56:28,7.014,105.0,0.0
2018-05-18 11:56:29,7.06,109.0,0.0
2018-05-18 11:56:30,7.178,115.0,0.0
2018-05-18 11:56:31,7.251,125.0,0.0
2018-05-18 11:56:32,7.202,137.0,0.0
2018-05-18 11:56:33,7.35,131.0,0.0
2018-05-18 11:56:34,7.3,140.0,0.0
2018-05-18 11:56:35,7.202,130.0,0.0
2018-05-18 11:56:36,7.3,140.0,0.0
2018-05-18 11:56:37,7.107,145.0,0.0
2018-05-18 11:56:38,7.178,121.0,0.0
2018-05-18 11:56:39,7.227,111.0,0.0
2018-05-18 11:56:40,7.227,117.0,0.0
2018-05-18 11:56:41,7.202,115.0,0.0
2018-05-18 11:56:42,7.251,158.0,0.0
2018-05-18 11:56:43,7.251,158.0,0.0
2018-05-18 11:56:44,7.557,161.0,0.0
2018-05-18 11:56:45,7.693,146.0,0.0
2018-05-18 11:56:46,7.638,178.0,0.0
2018-05-18 11:56:47,7.748,192.0,0.0
2018-05-18 11:56:48,7.862,205.0,0.0
2018-05-18 11:56:49,7.776,219.0,0.0
2018-05-18 11:56:50,7.833,215.0,0.0
2018-05-18 11:56:51,7.805,198.0,0.0
2018-05-18 11:56:52,7.848,200.0,0.0
2018-05-18 11:56:53,7.862,163.0,0.0
2018-05-18 11:56:54,7.949,162.0,0.0
2018-05-18 11:56:55,7.891,165.0,0.0
2018-05-18 11:56:56,7.805,139.0,0.0
2018-05-18 11:56:57,7.949,170.0,0.0
2018-05-18 11:56:58,7.833,154.0,0.0
2018-05-18 11:56:59,8.009,153.0,0.0
2018-05-18 11:57:00,7.92,178.0,0.0
2018-05-18 11:57:01,7.92,188.0,0.0
2018-05-18 11:57:02,7.862,196.0,0.0
2018-05-18 11:57:03,7.949,192.0,0.0
2018-05-18 11:57:04,8.099,196.0,0.0
2018-05-18 11:57:05,8.009,222.0,0.0
2018-05-18 11:57:06,8.099,218.0,0.0
2018-05-18 11:57:07,8.161,164.0,0.0
2018-05-18 11:57:08,8.192,139.0,0.0
2018-05-18 11:57:09,8.223,116.0,0.0
2018-05-18 11:57:10,8.255,151.0,0.0
2018-05-18 11:57:11,8.351,185.0,0.0
2018-05-18 11:57:12,8.255,223.0,0.0
2018-05-18 11:57:13,8.13,239.0,0.0
2018-05-18 11:57:14,8.13,251.0,0.0
2018-05-18 11:57:15,8.069,222.0,0.0
2018-05-18 11:57:16,8.161,194.0,0.0
2018-05-18 11:57:17,8.255,158.0,0.0
2018-05-18 11:57:18,8.223,150.0,0.0
2018-05-18 11:57:19,8.192,150.0,0.0
2018-05-18 11:57:20,8.161,123.0,0.0
2018-05-18 11:57:21,7.92,133.0,0.0
2018-05-18 11:57:22,7.891,141.0,0.0
2018-05-18 11:57:23,7.92,169.0,0.0
2018-05-18 11:57:24,8.069,199.0,0.0
2018-05-18 11:57:25,8.069,206.0,0.0
2018-05-18 11:57:26,8.099,270.0,0.0
2018-05-18 11:57:27,8.223,304.0,0.0
2018-05-18 11:57:28,8.287,287.0,0.0
2018-05-18 11:57:29,8.585,275.0,0.0
2018-05-18 11:57:30,8.62,229.0,0.0
2018-05-18 11:57:31,8.62,221.0,0.0
2018-05-18 11:57:32,8.551,192.0,0.0
2018-05-18 11:57:33,8.654,178.0,0.0
2018-05-18 11:57:34,8.76,216.0,0.0
2018-05-18 11:57:35,8.689,211.0,0.0
2018-05-18 11:57:36,8.906,245.0,0.0
2018-05-18 11:57:37,8.796,275.0,0.0
2018-05-18 11:57:38,8.869,271.0,0.0
2018-05-18 11:57:39,8.869,272.0,0.0
2018-05-18 11:57:40,8.796,223.0,0.0
2018-05-18 11:57:41,8.943,252.0,0.0
2018-05-18 11:57:42,8.98,248.0,0.0
2018-05-18 11:57:43,9.018,261.0,0.0
2018-05-18 11:57:44,9.056,255.0,0.0
2018-05-18 11:57:45,9.095,256.0,0.0
2018-05-18 11:57:46,9.056,251.0,0.0
2018-05-18 11:57:47,9.291,251.0,0.0
2018-05-18 11:57:48,9.251,304.0,0.0
2018-05-18 11:57:49,9.251,306.0,0.0
2018-05-18 11:57:50,9.251,300.0,0.0
2018-05-18 11:57:51,9.414,290.0,0.0
2018-05-18 11:57:52,9.434,298.0,0.0
2018-05-18 11:57:53,9.497,260.0,0.0
2018-05-18 11:57:54,9.455,202.0,0.0
2018-05-18 11:57:55,9.455,216.0,0.0
2018-05-18 11:57:56,9.497,248.0,0.0
2018-05-18 11:57:57,9.582,292.0,0.0
2018-05-18 11:57:58,9.778,327.0,0.0
2018-05-18 11:57:59,9.668,356.0,0.0
2018-05-18 11:58:00,9.582,355.0,0.0
2018-05-18 11:58:01,9.582,343.0,0.0
2018-05-18 11:58:02,9.712,270.0,0.0
2018-05-18 11:58:03,9.668,231.0,0.0
2018-05-18 11:58:04,9.625,225.0,0.0
2018-05-18 11:58:05,9.539,191.0,0.0
2018-05-18 11:58:06,9.625,205.0,0.0
2018-05-18 11:58:07,9.539,251.0,0.0
2018-05-18 11:58:08,9.625,304.0,0.0
2018-05-18 11:58:09,9.69,334.0,0.0
2018-05-18 11:58:10,9.625,334.0,0.0
2018-05-18 11:58:11,9.756,287.0,0.0
2018-05-18 11:58:12,9.712,287.0,0.0
2018-05-18 11:58:13,9.712,239.0,0.0
2018-05-18 11:58:14,9.625,203.0,0.0
2018-05-18 11:58:15,9.539,236.0,0.0
2018-05-18 11:58:16,9.539,236.0,0.0
2018-05-18 11:58:17,9.712,257.0,0.0
2018-05-18 11:58:18,9.8,235.0,0.0
2018-05-18 11:58:19,9.8,157.0,0.0
2018-05-18 11:58:20,9.539,0.0,0.0
2018-05-18 11:58:21,9.172,0.0,0.0
2018-05-18 11:58:22,9.133,0.0,0.0
2018-05-18 11:58:23,8.62,0.0,0.0
2018-05-18 11:58:24,8.725,0.0,0.0
2018-05-18 11:58:25,8.384,0.0,0.0
2018-05-18 11:58:26,8.351,0.0,0.0
2018-05-18 11:58:27,8.161,0.0,0.0
2018-05-18 11:58:28,7.949,0.0,0.0
2018-05-18 11:58:29,7.721,0.0,0.0
2018-05-18 11:58:30,7.611,0.0,0.0
2018-05-18 11:58:31,7.505,0.0,0.0
2018-05-18 11:58:32,7.401,0.0,0.0
2018-05-18 11:58:33,7.107,41.0,0.0
2018-05-18 11:58:34,7.107,103.0,0.0
2018-05-18 11:58:35,6.901,102.0,0.0
2018-05-18 11:58:36,6.946,94.0,0.0
2018-05-18 11:58:37,6.749,71.0,0.0
2018-05-18 11:58:38,6.771,63.0,0.0
2018-05-18 11:58:39,6.749,49.0,0.0
2018-05-18 11:58:40,6.835,63.0,0.0
2018-05-18 11:58:41,6.901,77.0,0.0
2018-05-18 11:58:42,6.969,81.0,0.0
2018-05-18 11:58:43,6.969,102.0,0.0
2018-05-18 11:58:44,6.835,104.0,0.0
2018-05-18 11:58:45,6.857,111.0,0.0
2018-05-18 11:58:46,6.707,143.0,0.0
2018-05-18 11:58:47,6.749,144.0,0.0
2018-05-18 11:58:48,6.728,147.0,0.0
2018-05-18 11:58:49,6.835,143.0,0.0
2018-05-18 11:58:50,6.792,151.0,0.0
2018-05-18 11:58:51,6.835,154.0,0.0
2018-05-18 11:58:52,6.901,148.0,0.0
2018-05-18 11:58:53,6.901,91.0,0.0
2018-05-18 11:58:54,6.857,92.0,0.0
2018-05-18 11:58:55,6.824,95.0,0.0
2018-05-18 11:58:56,6.814,102.0,0.0
2018-05-18 11:58:57,6.924,115.0,0.0
2018-05-18 11:58:58,6.901,115.0,0.0
2018-05-18 11:58:59,6.924,111.0,0.0
2018-05-18 11:59:00,6.924,115.0,0.0
2018-05-18 11:59:01,7.014,163.0,0.0
2018-05-18 11:59:02,6.969,176.0,0.0
2018-05-18 11:59:03,6.991,180.0,0.0
2018-05-18 11:59:04,7.037,162.0,0.0
2018-05-18 11:59:05,7.037,165.0,0.0
2018-05-18 11:59:06,6.969,158.0,0.0
2018-05-18 11:59:07,7.107,140.0,0.0
2018-05-18 11:59:08,7.178,175.0,0.0
2018-05-18 11:59:09,7.276,171.0,0.0
2018-05-18 11:59:10,7.452,181.0,400.0
2018-05-18 11:59:11,7.452,133.0,400.0
2018-05-18 11:59:12,7.531,125.0,400.0
2018-05-18 11:59:13,7.505,149.0,400.0
2018-05-18 11:59:14,7.401,180.0,400.0
2018-05-18 11:59:15,7.452,189.0,400.0
2018-05-18 11:59:16,7.478,184.0,400.0
2018-05-18 11:59:17,7.427,182.0,400.0
2018-05-18 11:59:18,7.427,153.0,400.0
2018-05-18 11:59:19,7.478,163.0,400.0
2018-05-18 11:59:20,7.531,182.0,400.0
2018-05-18 11:59:21,7.665,197.0,400.0
2018-05-18 11:59:22,7.693,190.0,0.0
2018-05-18 11:59:23,7.721,156.0,0.0
2018-05-18 11:59:24,7.693,151.0,0.0
2018-05-18 11:59:25,7.776,126.0,0.0
2018-05-18 11:59:26,7.748,115.0,0.0
2018-05-18 11:59:27,7.665,108.0,0.0
2018-05-18 11:59:28,7.665,129.0,0.0
2018-05-18 11:59:29,7.478,129.0,0.0
2018-05-18 11:59:30,7.401,128.0,0.0
2018-05-18 11:59:31,7.427,146.0,0.0
2018-05-18 11:59:32,7.427,136.0,0.0
2018-05-18 11:59:33,7.35,135.0,0.0
2018-05-18 11:59:34,7.505,123.0,0.0
2018-05-18 11:59:35,7.505,123.0,0.0
2018-05-18 11:59:36,7.748,163.0,0.0
2018-05-18 11:59:37,7.721,146.0,0.0
2018-05-18 11:59:38,7.862,130.0,0.0
2018-05-18 11:59:39,7.949,252.0,0.0
2018-05-18 11:59:40,8.351,336.0,0.0
2018-05-18 11:59:41,8.654,376.0,0.0
2018-05-18 11:59:42,8.76,376.0,0.0
2018-05-18 11:59:43,8.906,392.0,0.0
2018-05-18 11:59:44,9.056,389.0,0.0
2018-05-18 11:59:45,9.251,354.0,0.0
2018-05-18 11:59:46,9.133,322.0,0.0
2018-05-18 11:59:47,9.018,260.0,0.0
2018-05-18 11:59:48,8.943,202.0,0.0
2018-05-18 11:59:49,9.114,238.0,0.0
2018-05-18 11:59:50,9.095,237.0,0.0
2018-05-18 11:59:51,9.212,290.0,0.0
2018-05-18 11:59:52,9.192,299.0,0.0
2018-05-18 11:59:53,9.332,392.0,0.0
2018-05-18 11:59:54,9.373,406.0,0.0
2018-05-18 11:59:55,9.539,387.0,0.0
2018-05-18 11:59:56,9.539,359.0,0.0
2018-05-18 11:59:57,9.625,326.0,0.0
2018-05-18 11:59:58,9.734,229.0,0.0
2018-05-18 11:59:59,9.712,203.0,0.0
2018-05-18 12:00:00,9.845,245.0,0.0
2018-05-18 12:00:01,9.845,308.0,0.0
2018-05-18 12:00:02,9.668,342.0,0.0
2018-05-18 12:00:03,9.8,424.0,400.0
2018-05-18 12:00:04,10.077,408.0,400.0
2018-05-18 12:00:05,9.983,394.0,400.0
2018-05-18 12:00:06,9.845,273.0,400.0
2018-05-18 12:00:07,9.756,240.0,400.0
2018-05-18 12:00:08,9.712,197.0,400.0
2018-05-18 12:00:09,9.756,215.0,400.0
2018-05-18 12:00:10,9.845,263.0,400.0
2018-05-18 12:00:11,10.029,294.0,400.0
2018-05-18 12:00:12,9.937,357.0,400.0
2018-05-18 12:00:13,9.891,367.0,400.0
2018-05-18 12:00:14,9.937,373.0,400.0
