,2018-05-18-16-09-15-force,2018-05-18-16-09-15-ACd,2018-05-18-16-09-15-vitesse moyenne,2018-05-18-16-09-15-vitesse moyenne quadratique
0,9.843676255379572,0.31652469753628015,7.256716049382715,7.257937053433636
1,14.159128323552444,0.3215865358416887,8.665521739130433,8.66618070683264
2,19.04117786027246,0.31029688172358666,10.258086956521739,10.25939700321443
3,20.25571033027077,0.2676516900723839,11.78657142857143,11.788117079742392
4,10.045049877031571,0.3199244649199517,7.324861111111111,7.325726795570071
5,16.172029946546896,0.37077066408546633,8.713807692307693,8.714516061853791
6,18.907574536541926,0.3233582364788889,10.069095238095239,10.07016396754955
7,23.13916704561114,0.30776511395482664,11.534678571428572,11.536867130142888
8,11.331771634159244,0.33871418550395593,7.759947368421052,7.761354978691745
9,15.281793127554703,0.3327312743452104,8.9855,8.986758969605104
10,17.43226805299223,0.3066398194020372,10.000500000000004,10.00159745074089
11,24.212926226589058,0.3049180759500983,11.67385294117647,11.675619312204788
