,2018-05-18-16-09-15-force,2018-05-18-16-09-15-ACd,2018-05-18-16-09-15-vitesse moyenne,2018-05-18-16-09-15-vitesse moyenne quadratique,2018-05-18-16-09-15-b_few,2018-05-18-16-09-15-b_period,2018-05-18-16-09-15-val reste,2018-05-18-16-09-15-Nb periode
0,10.048165693196385,0.323205887971307,7.256353658536583,7.2575605666125025,True,False,13.094868920592695,5.950209999999998
1,14.291148577497024,0.3250721255720478,8.659333333333334,8.660016151832512,True,True,0.9035337593348238,2.07824
2,18.87541482101876,0.31160259788595274,10.2485,10.249801011372234,True,True,2.4849490169293063,2.25467
3,25.475660066721023,0.31137203011700687,11.744074074074073,11.74535594591736,True,True,1.4552019931249767,3.1708999999999996
4,10.045049877031571,0.3199244649199517,7.324861111111111,7.325726795570071,True,False,8.695728019112988,2.6369499999999997
5,15.614143045051929,0.36637253867585956,8.70164,8.702156562599871,True,True,2.0158269015955597,2.17541
6,18.420304786452498,0.315488979377664,10.066585365853658,10.06766729345519,True,True,1.2645797494730218,4.1273
7,23.13916704561114,0.30776511395482664,11.534678571428572,11.536867130142888,True,True,1.9914729186211773,3.2297100000000003
8,9.224887479703543,0.2820584515165141,7.831380952380952,7.835810320633876,True,False,8.230859971178226,1.64459
9,15.281793127554703,0.3327312743452104,8.9855,8.986758969605104,True,True,2.612876300706697,3.23478
10,17.539930274451006,0.3078377604002716,10.004483870967746,10.005569292697329,True,True,1.0134455840768304,3.101390000000001
11,24.423067320264867,0.31081435817164377,11.676083333333333,11.677804206413692,True,True,1.741936865244476,4.20339
