,speed,power,crop
2018-05-18 09:12:07,6.762,0.0,0.0
2018-05-18 09:12:08,6.554,0.0,0.0
2018-05-18 09:12:09,6.474,0.0,0.0
2018-05-18 09:12:10,6.514,167.0,0.0
2018-05-18 09:12:11,6.677,180.0,0.0
2018-05-18 09:12:12,6.762,191.0,0.0
2018-05-18 09:12:13,6.938,213.0,0.0
2018-05-18 09:12:14,7.006,213.0,0.0
2018-05-18 09:12:15,7.076,217.0,0.0
2018-05-18 09:12:16,7.147,192.0,0.0
2018-05-18 09:12:17,7.147,177.0,0.0
2018-05-18 09:12:18,7.196,165.0,0.0
2018-05-18 09:12:19,7.245,164.0,0.0
2018-05-18 09:12:20,7.294,160.0,0.0
2018-05-18 09:12:21,7.196,158.0,0.0
2018-05-18 09:12:22,7.294,162.0,0.0
2018-05-18 09:12:23,7.447,154.0,0.0
2018-05-18 09:12:24,7.473,146.0,0.0
2018-05-18 09:12:25,7.345,143.0,0.0
2018-05-18 09:12:26,7.319,137.0,0.0
2018-05-18 09:12:27,7.123,143.0,0.0
2018-05-18 09:12:28,7.147,132.0,0.0
2018-05-18 09:12:29,7.076,135.0,0.0
2018-05-18 09:12:30,7.076,134.0,0.0
2018-05-18 09:12:31,7.1,141.0,0.0
2018-05-18 09:12:32,7.196,152.0,0.0
2018-05-18 09:12:33,7.245,163.0,0.0
2018-05-18 09:12:34,7.421,170.0,0.0
2018-05-18 09:12:35,7.447,173.0,400.0
2018-05-18 09:12:36,7.526,166.0,400.0
2018-05-18 09:12:37,7.5,163.0,400.0
2018-05-18 09:12:38,7.553,162.0,400.0
2018-05-18 09:12:39,7.22,161.0,400.0
2018-05-18 09:12:40,7.22,164.0,400.0
2018-05-18 09:12:41,7.269,156.0,400.0
2018-05-18 09:12:42,7.245,137.0,400.0
2018-05-18 09:12:43,7.147,130.0,400.0
2018-05-18 09:12:44,7.196,135.0,400.0
2018-05-18 09:12:45,7.171,131.0,400.0
2018-05-18 09:12:46,7.196,132.0,400.0
2018-05-18 09:12:47,7.22,140.0,400.0
2018-05-18 09:12:48,7.245,147.0,400.0
2018-05-18 09:12:49,7.319,154.0,400.0
2018-05-18 09:12:50,7.37,166.0,400.0
