,speed,power,crop
2018-05-18 09:37:45,7.3,78.0,0.0
2018-05-18 09:37:46,7.276,67.0,0.0
2018-05-18 09:37:47,7.3,62.0,0.0
2018-05-18 09:37:48,7.325,83.0,0.0
2018-05-18 09:37:49,7.452,158.0,0.0
2018-05-18 09:37:50,7.505,162.0,0.0
2018-05-18 09:37:51,7.557,173.0,0.0
2018-05-18 09:37:52,7.452,173.0,0.0
2018-05-18 09:37:53,7.505,172.0,0.0
2018-05-18 09:37:54,7.427,178.0,0.0
2018-05-18 09:37:55,7.531,184.0,0.0
2018-05-18 09:37:56,7.427,185.0,0.0
2018-05-18 09:37:57,7.557,179.0,0.0
2018-05-18 09:37:58,7.505,197.0,400.0
2018-05-18 09:37:59,7.584,144.0,400.0
2018-05-18 09:38:00,7.721,96.0,400.0
2018-05-18 09:38:01,7.92,96.0,400.0
2018-05-18 09:38:02,7.748,114.0,400.0
2018-05-18 09:38:03,7.862,118.0,400.0
2018-05-18 09:38:04,7.805,132.0,400.0
2018-05-18 09:38:05,7.693,113.0,400.0
2018-05-18 09:38:06,7.721,102.0,400.0
2018-05-18 09:38:07,7.531,103.0,400.0
2018-05-18 09:38:08,7.531,99.0,400.0
2018-05-18 09:38:09,7.401,107.0,400.0
2018-05-18 09:38:10,7.376,110.0,400.0
2018-05-18 09:38:11,7.35,137.0,400.0
2018-05-18 09:38:12,7.452,133.0,400.0
2018-05-18 09:38:13,7.478,138.0,400.0
2018-05-18 09:38:14,7.665,145.0,400.0
2018-05-18 09:38:15,7.665,149.0,400.0
2018-05-18 09:38:16,7.693,159.0,400.0
2018-05-18 09:38:17,7.638,183.0,400.0
2018-05-18 09:38:18,7.665,179.0,400.0
2018-05-18 09:38:19,7.665,170.0,0.0
2018-05-18 09:38:20,7.557,157.0,0.0
2018-05-18 09:38:21,7.638,140.0,0.0
2018-05-18 09:38:22,7.531,136.0,0.0
2018-05-18 09:38:23,7.557,127.0,0.0
2018-05-18 09:38:24,7.35,97.0,0.0
2018-05-18 09:38:25,7.35,97.0,0.0
2018-05-18 09:38:26,7.3,114.0,0.0
2018-05-18 09:38:27,7.401,99.0,0.0
