,speed,power,crop
2018-05-18 13:06:46,6.407,79.0,0.0
2018-05-18 13:06:47,6.494,83.0,0.0
2018-05-18 13:06:48,6.645,123.0,0.0
2018-05-18 13:06:49,6.707,138.0,0.0
2018-05-18 13:06:50,6.792,165.0,0.0
2018-05-18 13:06:51,6.792,165.0,0.0
2018-05-18 13:06:52,6.857,161.0,0.0
2018-05-18 13:06:53,6.924,177.0,0.0
2018-05-18 13:06:54,7.06,186.0,0.0
2018-05-18 13:06:55,7.06,174.0,0.0
2018-05-18 13:06:56,7.107,164.0,0.0
2018-05-18 13:06:57,7.084,144.0,0.0
2018-05-18 13:06:58,7.06,153.0,0.0
2018-05-18 13:06:59,7.107,159.0,0.0
2018-05-18 13:07:00,7.227,130.0,0.0
2018-05-18 13:07:01,7.276,124.0,0.0
2018-05-18 13:07:02,7.325,126.0,0.0
2018-05-18 13:07:03,7.325,115.0,0.0
2018-05-18 13:07:04,7.325,117.0,0.0
2018-05-18 13:07:05,7.3,129.0,0.0
2018-05-18 13:07:06,7.325,152.0,0.0
2018-05-18 13:07:07,7.3,165.0,0.0
2018-05-18 13:07:08,7.376,176.0,0.0
2018-05-18 13:07:09,7.427,169.0,0.0
2018-05-18 13:07:10,7.325,161.0,0.0
2018-05-18 13:07:11,7.325,157.0,0.0
2018-05-18 13:07:12,7.531,153.0,0.0
2018-05-18 13:07:13,7.833,185.0,0.0
2018-05-18 13:07:14,7.949,187.0,0.0
2018-05-18 13:07:15,8.099,208.0,0.0
2018-05-18 13:07:16,8.13,223.0,0.0
2018-05-18 13:07:17,8.192,230.0,0.0
2018-05-18 13:07:18,8.069,259.0,0.0
2018-05-18 13:07:19,8.161,265.0,400.0
2018-05-18 13:07:20,7.979,183.0,400.0
2018-05-18 13:07:21,8.069,158.0,400.0
2018-05-18 13:07:22,8.009,145.0,400.0
2018-05-18 13:07:23,7.949,137.0,400.0
2018-05-18 13:07:24,7.833,135.0,400.0
2018-05-18 13:07:25,7.638,105.0,400.0
2018-05-18 13:07:26,7.531,84.0,400.0
2018-05-18 13:07:27,7.693,79.0,400.0
2018-05-18 13:07:28,7.557,64.0,400.0
2018-05-18 13:07:29,7.478,54.0,400.0
2018-05-18 13:07:30,7.35,54.0,400.0
2018-05-18 13:07:31,7.325,69.0,400.0
2018-05-18 13:07:32,7.376,114.0,400.0
2018-05-18 13:07:33,7.376,141.0,400.0
2018-05-18 13:07:34,7.35,154.0,400.0
2018-05-18 13:07:35,7.427,160.0,400.0
2018-05-18 13:07:36,7.427,154.0,400.0
2018-05-18 13:07:37,7.401,162.0,400.0
2018-05-18 13:07:38,7.478,149.0,0.0
2018-05-18 13:07:39,7.833,142.0,0.0
2018-05-18 13:07:40,8.099,255.0,0.0
2018-05-18 13:07:41,8.255,224.0,0.0
2018-05-18 13:07:42,8.551,278.0,0.0
2018-05-18 13:07:43,8.796,373.0,0.0
2018-05-18 13:07:44,8.796,411.0,0.0
2018-05-18 13:07:45,8.98,432.0,0.0
2018-05-18 13:07:46,9.095,421.0,0.0
2018-05-18 13:07:47,9.095,360.0,0.0
2018-05-18 13:07:48,9.172,324.0,0.0
2018-05-18 13:07:49,9.172,273.0,0.0
2018-05-18 13:07:50,9.251,250.0,0.0
2018-05-18 13:07:51,9.332,243.0,0.0
2018-05-18 13:07:52,9.373,261.0,0.0
2018-05-18 13:07:53,9.455,272.0,0.0
2018-05-18 13:07:54,9.539,302.0,0.0
2018-05-18 13:07:55,9.712,388.0,0.0
2018-05-18 13:07:56,9.8,402.0,0.0
2018-05-18 13:07:57,9.69,382.0,0.0
2018-05-18 13:07:58,9.891,395.0,0.0
2018-05-18 13:07:59,9.891,407.0,400.0
2018-05-18 13:08:00,9.983,294.0,400.0
2018-05-18 13:08:01,10.124,264.0,400.0
2018-05-18 13:08:02,10.172,230.0,400.0
2018-05-18 13:08:03,10.172,293.0,400.0
2018-05-18 13:08:04,10.269,332.0,400.0
2018-05-18 13:08:05,10.148,341.0,400.0
2018-05-18 13:08:06,10.124,370.0,400.0
2018-05-18 13:08:07,10.029,325.0,400.0
2018-05-18 13:08:08,10.077,310.0,400.0
2018-05-18 13:08:09,10.006,271.0,400.0
2018-05-18 13:08:10,9.983,241.0,400.0
2018-05-18 13:08:11,9.983,222.0,400.0
2018-05-18 13:08:12,10.029,258.0,400.0
2018-05-18 13:08:13,10.124,313.0,400.0
2018-05-18 13:08:14,10.269,336.0,400.0
2018-05-18 13:08:15,10.22,345.0,400.0
2018-05-18 13:08:16,10.124,350.0,400.0
2018-05-18 13:08:17,10.172,324.0,0.0
2018-05-18 13:08:18,10.148,308.0,0.0
2018-05-18 13:08:19,9.983,283.0,0.0
2018-05-18 13:08:20,9.8,188.0,0.0
2018-05-18 13:08:21,9.778,0.0,0.0
2018-05-18 13:08:22,9.625,0.0,0.0
2018-05-18 13:08:23,9.332,0.0,0.0
2018-05-18 13:08:24,9.133,0.0,0.0
2018-05-18 13:08:25,8.725,0.0,0.0
2018-05-18 13:08:26,8.483,0.0,0.0
2018-05-18 13:08:27,8.223,0.0,0.0
2018-05-18 13:08:28,8.009,0.0,0.0
2018-05-18 13:08:29,7.805,0.0,0.0
2018-05-18 13:08:30,7.693,7.0,0.0
2018-05-18 13:08:31,7.478,13.0,0.0
2018-05-18 13:08:32,7.178,20.0,0.0
2018-05-18 13:08:33,7.505,25.0,0.0
2018-05-18 13:08:34,7.325,30.0,0.0
2018-05-18 13:08:35,7.325,33.0,0.0
2018-05-18 13:08:36,7.202,40.0,0.0
2018-05-18 13:08:37,7.227,40.0,0.0
