,speed,power,crop
2018-05-18 12:39:14,9.312,47.0,0.0
2018-05-18 12:39:15,8.98,0.0,0.0
2018-05-18 12:39:16,8.654,0.0,0.0
2018-05-18 12:39:17,8.287,0.0,0.0
2018-05-18 12:39:18,8.039,9.0,0.0
2018-05-18 12:39:19,8.069,35.0,0.0
2018-05-18 12:39:20,7.979,44.0,0.0
2018-05-18 12:39:21,7.891,43.0,0.0
2018-05-18 12:39:22,7.693,47.0,0.0
2018-05-18 12:39:23,7.557,49.0,0.0
2018-05-18 12:39:24,7.452,51.0,0.0
2018-05-18 12:39:25,7.557,55.0,0.0
2018-05-18 12:39:26,7.531,77.0,0.0
2018-05-18 12:39:27,7.452,64.0,0.0
2018-05-18 12:39:28,7.452,77.0,0.0
2018-05-18 12:39:29,7.35,87.0,0.0
2018-05-18 12:39:30,7.202,79.0,0.0
2018-05-18 12:39:31,7.131,74.0,0.0
2018-05-18 12:39:32,6.879,72.0,0.0
2018-05-18 12:39:33,6.924,77.0,0.0
2018-05-18 12:39:34,6.969,97.0,0.0
2018-05-18 12:39:35,6.924,89.0,0.0
2018-05-18 12:39:36,7.037,85.0,0.0
2018-05-18 12:39:37,6.879,91.0,0.0
2018-05-18 12:39:38,7.06,92.0,0.0
2018-05-18 12:39:39,7.107,96.0,0.0
2018-05-18 12:39:40,7.06,97.0,0.0
2018-05-18 12:39:41,7.107,113.0,0.0
2018-05-18 12:39:42,7.06,126.0,0.0
2018-05-18 12:39:43,6.991,121.0,0.0
2018-05-18 12:39:44,7.037,118.0,0.0
2018-05-18 12:39:45,6.946,117.0,0.0
2018-05-18 12:39:46,6.924,126.0,0.0
2018-05-18 12:39:47,6.969,101.0,0.0
2018-05-18 12:39:48,6.969,124.0,0.0
2018-05-18 12:39:49,6.946,121.0,0.0
2018-05-18 12:39:50,6.879,111.0,0.0
2018-05-18 12:39:51,6.924,116.0,0.0
2018-05-18 12:39:52,6.924,118.0,0.0
2018-05-18 12:39:53,7.06,123.0,0.0
2018-05-18 12:39:54,7.084,145.0,0.0
2018-05-18 12:39:55,7.276,171.0,0.0
2018-05-18 12:39:56,7.376,188.0,0.0
